date,total_amount,is_holiday
7/21/2017,17083.94,0
7/22/2017,13281.59,0
7/23/2017,12111.96,0
7/24/2017,20240.24,0
7/25/2017,18981.58,0
7/26/2017,12697.47,0
7/27/2017,17390.87,0
7/28/2017,22586.78,0
7/29/2017,17066.6,0
7/30/2017,13644.8,0
7/31/2017,18256.72,0
8/1/2017,25043.16,0
8/2/2017,20005.6,0
8/3/2017,19855.64,0
8/4/2017,19694.69,0
8/5/2017,12467.41,0
8/6/2017,13810.88,0
8/7/2017,26006.32,0
8/8/2017,20258.01,0
8/9/2017,23881.71,0
8/10/2017,22440.77,0
8/11/2017,21212.59,0
8/12/2017,14013.67,0
8/13/2017,14462.99,1
8/14/2017,19568.24,0
8/15/2017,25089.78,0
8/16/2017,24236.75,0
8/17/2017,19415.35,0
8/18/2017,18052.81,0
8/19/2017,13741.66,0
8/20/2017,13314.22,0
8/21/2017,25960.8,0
8/22/2017,18089.89,0
8/23/2017,19471.86,0
8/24/2017,13725.64,0
8/25/2017,15387.03,0
8/26/2017,10061.19,0
8/27/2017,14231.49,0
8/28/2017,22340.69,0
8/29/2017,35115.07,0
8/30/2017,30459.82,0
8/31/2017,22897.22,0
9/1/2017,30869.26,0
9/2/2017,19763.44,0
9/3/2017,33427.53,0
9/4/2017,26177.07,0
9/5/2017,23474.39,0
9/6/2017,27432.26,0
9/7/2017,18069.25,1
9/8/2017,14219.7,0
9/9/2017,16095.03,0
9/10/2017,18517.68,0
9/11/2017,24838.22,0
9/12/2017,38148.08,0
9/13/2017,28328.1,0
9/14/2017,25327.08,0
9/15/2017,18994.14,0
9/16/2017,19551.2,0
9/17/2017,20630.66,0
9/18/2017,32714.47,0
9/19/2017,22912.49,0
9/20/2017,23175.64,0
9/21/2017,20301.77,0
9/22/2017,19803.7,0
9/23/2017,10814.34,0
9/24/2017,14712.69,0
9/25/2017,19618.89,0
9/26/2017,22514.02,0
9/27/2017,25321.84,0
9/28/2017,28829,0
9/29/2017,80029.49,0
9/30/2017,12433.89,0
10/1/2017,19877.86,0
10/2/2017,31000.76,0
10/3/2017,27165.53,0
10/4/2017,22269.88,0
10/5/2017,35336.62,0
10/6/2017,19670.87,0
10/7/2017,17038.63,0
10/8/2017,18075.93,0
10/9/2017,32224.73,0
10/10/2017,29395.15,0
10/11/2017,20198.31,0
10/12/2017,21528.24,1
10/13/2017,24840.29,0
10/14/2017,13992.75,0
10/15/2017,19938,0
10/16/2017,30409.76,0
10/17/2017,43460.02,0
10/18/2017,31981.66,0
10/19/2017,25134.07,0
10/20/2017,19496.15,0
10/21/2017,16053.15,0
10/22/2017,20965.57,0
10/23/2017,25246.82,0
10/24/2017,25094.05,0
10/25/2017,20152.09,0
10/26/2017,25026.31,0
10/27/2017,23821.13,1
10/28/2017,17350.93,0
10/29/2017,19909.37,0
10/30/2017,22853.15,0
10/31/2017,28555.48,0
11/1/2017,23223.25,1
11/2/2017,23655.46,1
11/3/2017,28474.07,0
11/4/2017,26200.16,0
11/5/2017,18080.97,0
11/6/2017,29868.44,0
11/7/2017,22572,0
11/8/2017,22313.09,0
11/9/2017,28089.06,0
11/10/2017,19337.53,0
11/11/2017,24205.66,0
11/12/2017,24599.76,0
11/13/2017,26458.26,0
11/14/2017,28738.92,0
11/15/2017,24993.15,1
11/16/2017,31047.74,0
11/17/2017,33820.66,0
11/18/2017,26026.64,0
11/19/2017,21846.42,0
11/20/2017,47912.1,1
11/21/2017,39168.48,0
11/22/2017,28242.74,0
11/23/2017,55131.48,0
11/24/2017,184834.17,1
11/25/2017,70187.82,0
11/26/2017,50044.78,0
11/27/2017,56591.49,0
11/28/2017,56715.24,0
11/29/2017,42492.89,0
11/30/2017,32789.27,0
12/1/2017,43803.33,0
12/2/2017,32100.51,0
12/3/2017,32574.16,0
12/4/2017,47886.05,0
12/5/2017,38499.66,0
12/6/2017,42002.7,0
12/7/2017,31885.26,0
12/8/2017,30741.48,0
12/9/2017,20277.13,0
12/10/2017,24838.68,0
12/11/2017,34462.98,0
12/12/2017,36454.96,0
12/13/2017,38415.04,0
